File,NTot
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part22.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part23.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part24.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part25.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part26.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part27.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part28.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part29.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part3.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part30.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part31.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part32.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part33.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part34.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part35.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part36.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part37.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part38.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part39.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part4.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part40.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part41.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part42.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part43.root,200000.0
/s3/cygno-sim/LIME_MC_data/LIME_AmBe_neutrons_50PE_10Cu_nolead_10umStep/AmBeISO_LIME_neutrons_50cmPE_10cmCu_NOPb_10umStep_part44.root,200000.0
